SMILES,pIC50,name
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccccc2CCO)c1,7.619788758,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(N)c1,7.585026652,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccccc2F)c1,7.522878745,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cccnc1,7.455931956,PRPTOR
COCCOc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cccnc1,7.366531544,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccccc2CO)c1,7.327902142,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccccc2N)c1,7.292429824,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(O)c1,7.244125144,PRPTOR
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Br)c1,7.187086643,CBX2
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncn1C,7.180456064,CBX2
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2cccc(CO)c2)c1,7.173925197,CBX2
COCCOc1cc2ncc3c(N)nc(cc3c2cc1OC)-n1ccnc1,7.15490196,CBX2
COc1ccccc1Nc1cncc(c1)-c1cc2c(cnc3cc(OC)c(OC)cc23)c(N)n1,7.13076828,CBX2
CCOc1cc2ncc3c(N)nc(cc3c2cc1OCC)-c1cccnc1,7.13076828,DNAH11
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccc(CCO)cc2)c1,7.040958608,DNAH11
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-n1ccnc1,7,DNAH11
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1ccccn1,7,DNAH11
COCCOc1cc2ncc3c(N)nc(cc3c2cc1OC)-n1cnc(C)c1,6.966576245,DNAH11
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccc(CO)cc2)c1,6.847711656,DNAH11
COc1cc2c(cc1OCCCN1CCCCC1)ncc1c(N)nc(cc21)-c1cccnc1,6.841637508,DNAH11
COc1cc2c(cc1OCc1ccccc1)ncc1c(N)nc(cc21)-c1cccnc1,6.835647144,DNAH11
COc1cc2ncc3c(N)nc(cc3c2cc1OC)-c1cncc(Nc2ccccc2)c1,6.548213564,KIFBP
COc1ccc(Nc2cncc(c2)-c2cc3c(cnc4cc(OC)c(OC)cc34)c(N)n2)cc1,6.416801226,KIFBP
