SMILES,pIC50
CO[C@@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)[C@H]1OC2(C[C@@H](O)[C@H](C)C(C\C=C\C#N)O2)C(C)(C)[C@H]1OP(O)(O)=O,9.0
CN[C@@H](COC)C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1,9.0
CO[C@@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)[C@H]1OC2(C[C@@H](O)[C@H](C)C(C\C=C\c3coc(n3)C(C)CCNC(=O)CO)O2)C(C)(C)[C@H]1OP(O)(O)=O,8.958607314841775
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C(N)=O)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.823908740944319
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](OC(C)=O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.67778070526608
COC[C@@H](C(O)[C@H](O)C(=O)NC(C)CC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.585026652029182
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,7.853871964321762
CC[C@H](O)CC1(OCC\C=C\c2coc(n2)C(C)CCNC(=O)[C@@H](O)C(O)[C@H](COC)N(C)C)O[C@H]([C@H](C[C@H](O)C(C)C2OC(C)([C@H](Br)[C@H]2C)C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C1(C)C,7.698970004336019
CO[C@@H]([C@H](O)CC(=O)[C@@H](C)[C@@H](O)CC[C@@H](C)[C@@H]1O[C@]2(CC[C@@H](C)[C@H](CC[C@H](C)C(C)=O)O2)CC[C@@H]1C)[C@H](OC(=O)C[C@H](O)C1=C(C)C(=O)OC1=O)C(C)C,6.301029995663981
CO[C@@H]([C@H](O)CC(=O)[C@@H](C)[C@@H](O)CC[C@@H](C)[C@@H]1O[C@]2(CC[C@@H](C)[C@H](CC[C@H](C)C(C)=O)O2)CC[C@@H]1C)[C@H](OC(=O)C[C@@H](O)\C=C(/C)C(O)=O)C(C)C,5.3979400086720375
